speaker,gender,school,speechStyle,segment,previous_segment,following_segment,word,segment_duration,word_duration,start_point_segment,end_point_segment,start_point_word,end_point_word,extraction_param,intensity_mean,pitch_mean,f1,f2
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,s,n,r\@l{ksIN,0.07,0.57,5.04,5.11,4.6,5.17,1,63.5011332,227.9895843,749.1194404,2046.772548
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,s,n,r\@l{ksIN,0.07,0.57,5.04,5.11,4.6,5.17,2,63.5011332,227.9895843,955.5267385,2102.749031
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,s,n,r\@l{ksIN,0.07,0.57,5.04,5.11,4.6,5.17,3,63.5011332,227.9895843,462.1819451,1838.156585
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,s,n,r\@l{ksIN,0.07,0.57,5.04,5.11,4.6,5.17,4,63.5011332,227.9895843,377.5040338,2250.34704
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,s,n,r\@l{ksIN,0.07,0.57,5.04,5.11,4.6,5.17,5,63.5011332,227.9895843,362.3192881,1511.10794
2944,Female,JannaliGirlsHighSchool,Phrase,KIT,n,n,In,0.04,0.22,5.17,5.21,5.17,5.39,1,73.31844152,204.910336,408.8437822,945.060276
2944,Female,JannaliGirlsHighSchool,Phrase,KIT,n,n,In,0.04,0.22,5.17,5.21,5.17,5.39,2,73.31844152,204.910336,410.577841,893.707032
2944,Female,JannaliGirlsHighSchool,Phrase,KIT,n,n,In,0.04,0.22,5.17,5.21,5.17,5.39,3,73.31844152,204.910336,412.1068443,906.8292827
2944,Female,JannaliGirlsHighSchool,Phrase,KIT,n,n,In,0.04,0.22,5.17,5.21,5.17,5.39,4,73.31844152,204.910336,413.6132418,2014.871866
2944,Female,JannaliGirlsHighSchool,Phrase,KIT,n,n,In,0.04,0.22,5.17,5.21,5.17,5.39,5,73.31844152,204.910336,409.5113179,2468.104114
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,D,s,D@,0.05,0.08,5.42,5.47,5.39,5.47,1,54.99544858,101.9416651,416.6584671,1784.625705
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,D,s,D@,0.05,0.08,5.42,5.47,5.39,5.47,2,54.99544858,101.9416651,405.7324876,1689.475255
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,D,s,D@,0.05,0.08,5.42,5.47,5.39,5.47,3,54.99544858,101.9416651,441.5825525,1617.317473
